,Clump,Team,Estimator,accuracy,HV
16,0,Browns,LogisticRegression(),0.8048780487804879,V
7,0,Lions,LogisticRegression(),0.7804878048780488,V
1,0,Colts,BaggingClassifier(),0.7674418604651163,H
18,0,Packers,KNeighborsClassifier(),0.75,H
17,0,Raiders,LogisticRegression(),0.7380952380952381,H
4,0,Ravens,LogisticRegression(),0.7333333333333333,V
14,0,Broncos,AdaBoostClassifier(),0.7317073170731707,V
30,0,Vikings,LogisticRegression(),0.7142857142857143,H
2,0,Panthers,LogisticRegression(),0.7142857142857143,V
22,0,Rams,KNeighborsClassifier(),0.7142857142857143,V
26,0,Patriots,LogisticRegression(),0.7083333333333334,H
15,0,Dolphins,LogisticRegression(),0.7073170731707317,V
8,0,Cardinals,KNeighborsClassifier(),0.7073170731707317,V
9,0,Eagles,LogisticRegression(),0.7045454545454546,H
19,0,Giants,BaggingClassifier(),0.6976744186046512,V
12,0,Jets,BaggingClassifier(),0.6976744186046512,V
24,0,Falcons,LogisticRegression(),0.6904761904761905,H
23,0,Redskins,KNeighborsClassifier(),0.6829268292682927,V
29,0,Bills,KNeighborsClassifier(),0.6829268292682927,V
28,0,Steelers,LogisticRegression(),0.6818181818181818,H
6,0,Buccaneers,LogisticRegression(),0.6585365853658537,H
31,0,Texans,KNeighborsClassifier(),0.6486486486486487,V
5,0,Jaguars,LogisticRegression(),0.6428571428571429,V
3,0,49ers,LogisticRegression(),0.6428571428571429,H
27,0,Bengals,LogisticRegression(),0.6341463414634146,H
10,0,Chargers,LogisticRegression(),0.6190476190476191,H
20,0,Chiefs,LogisticRegression(),0.6046511627906976,H
21,0,Saints,LogisticRegression(),0.5952380952380952,V
0,0,Bears,LogisticRegression(),0.5952380952380952,H
25,0,Cowboys,LogisticRegression(),0.5714285714285714,H
13,0,Titans,BaggingClassifier(),0.5609756097560976,H
11,0,Seahawks,LogisticRegression(),0.5581395348837209,H
