,HQ2
0,3
1,7
2,0
3,16
4,0
5,7
6,7
7,0
8,7
9,6
10,0
11,13
12,3
13,7
14,14
15,0
16,7
17,10
18,20
19,10
20,7
21,3
22,7
23,21
24,0
25,7
26,3
27,21
28,10
29,0
30,0
31,0
32,0
33,10
34,14
35,14
36,7
37,7
38,17
39,14
40,0
41,0
42,3
43,0
44,3
45,14
46,0
47,0
48,6
49,10
50,10
51,3
52,7
53,6
54,9
55,21
56,0
57,14
58,6
59,3
60,10
61,13
62,14
63,0
64,3
65,3
66,3
67,10
68,3
69,7
70,3
71,7
72,14
73,3
74,14
75,7
76,10
77,7
78,0
79,14
80,3
81,13
82,7
83,16
84,0
85,10
86,17
87,14
88,3
89,3
90,22
91,7
92,10
93,17
94,7
95,17
96,0
97,7
98,3
99,10
100,5
101,13
102,0
103,7
104,10
105,3
106,17
107,3
108,7
109,10
110,14
111,10
112,13
113,7
114,17
115,10
116,7
117,6
118,0
119,0
120,16
121,3
122,10
123,7
124,0
125,7
126,0
127,0
128,0
129,21
130,10
131,3
132,0
133,0
134,3
135,0
136,0
137,14
138,0
139,14
140,10
141,3
142,10
143,7
144,3
145,6
146,0
147,3
148,6
149,14
150,14
151,10
152,21
153,0
154,14
155,7
156,10
157,0
158,10
159,3
160,3
161,10
162,7
163,14
164,0
165,0
166,7
167,3
168,10
169,7
170,3
171,3
172,3
173,3
174,6
175,7
176,24
177,7
178,7
179,3
180,10
181,21
182,0
183,7
184,0
185,14
186,0
187,3
188,10
189,0
190,0
191,3
192,0
193,6
194,7
195,3
196,0
197,3
198,3
199,6
200,17
201,3
202,10
203,3
204,7
205,7
206,0
207,17
208,0
209,10
210,7
211,14
212,7
213,7
214,6
215,6
216,21
217,6
218,17
219,3
220,0
221,7
222,0
223,0
224,3
225,13
226,0
227,0
228,3
229,0
230,3
231,6
232,14
233,0
234,17
235,7
236,6
237,0
238,14
239,20
240,0
241,7
242,3
243,6
244,0
245,14
246,17
247,0
248,0
249,10
250,14
251,14
252,7
253,10
254,0
255,10
256,20
257,0
258,0
259,7
260,0
261,0
262,0
263,3
264,3
265,10
266,7
267,21
268,3
269,3
270,10
271,0
272,7
273,7
274,0
275,0
276,21
277,7
278,7
279,0
280,3
281,14
282,7
283,0
284,3
285,16
286,7
287,3
288,14
289,3
290,7
291,7
292,13
293,3
294,14
295,0
296,17
297,0
298,7
299,0
300,26
301,0
302,9
303,10
304,10
305,10
306,10
307,6
308,0
309,10
310,14
311,3
312,9
313,7
314,7
315,10
316,0
317,2
318,3
319,10
320,17
321,0
322,6
323,17
324,6
325,10
326,6
327,0
328,14
329,9
330,3
331,0
332,10
333,14
334,3
335,3
336,0
337,0
338,3
339,7
340,6
341,20
342,3
343,6
344,3
345,10
346,3
347,21
348,10
349,3
350,9
351,3
352,3
353,3
354,3
355,3
356,14
357,10
358,7
359,7
360,0
361,10
362,0
363,0
364,7
365,7
366,7
367,10
368,7
369,0
370,0
371,14
372,7
373,3
374,0
375,14
376,10
377,0
378,0
379,0
380,0
381,17
382,24
383,14
384,7
385,7
386,0
387,7
388,7
389,17
390,0
391,10
392,0
393,3
394,0
395,0
396,3
397,7
398,6
399,10
400,3
401,7
402,10
403,0
404,7
405,7
406,7
407,0
408,9
409,0
410,7
411,13
412,0
413,0
414,0
415,0
416,6
417,3
418,7
419,13
420,7
421,0
422,0
423,3
424,3
425,10
426,0
427,0
428,0
429,3
430,14
431,10
432,14
433,7
434,7
435,0
436,17
437,10
438,3
439,7
440,7
441,3
442,3
443,9
444,14
445,3
446,13
447,0
448,3
449,21
450,3
451,0
452,3
453,10
454,6
455,0
456,0
457,13
458,3
459,0
460,7
461,7
462,20
463,3
464,0
465,3
466,0
467,13
468,13
469,3
470,10
471,6
472,10
473,3
474,17
475,10
476,10
477,13
478,14
479,7
480,10
481,7
482,28
483,0
484,3
485,10
486,10
487,10
488,0
489,10
490,3
491,0
492,0
493,10
494,7
495,6
496,3
497,10
498,6
499,7
500,3
501,7
502,13
503,14
504,10
505,10
506,9
507,14
508,10
509,0
510,0
511,7
512,0
513,10
514,17
515,3
516,3
517,14
518,3
519,10
520,14
521,0
522,21
523,7
524,3
525,3
526,14
527,7
528,3
529,3
530,21
531,9
532,3
533,3
534,3
535,3
536,7
537,0
538,0
539,14
540,10
541,14
542,10
543,7
544,7
545,7
546,3
547,10
548,3
549,7
550,7
551,0
552,3
553,17
554,9
555,14
556,10
557,0
558,7
559,0
560,10
561,10
562,7
563,10
564,14
565,6
566,7
567,7
568,17
569,7
570,7
571,10
572,7
573,0
574,10
575,7
576,31
577,31
578,14
579,21
580,9
581,7
582,10
583,0
584,10
585,14
586,12
587,8
588,11
589,17
590,0
591,7
592,6
593,7
594,3
595,21
596,3
597,0
598,14
599,3
600,0
601,9
602,7
603,0
604,3
605,7
606,6
607,7
608,7
609,6
610,14
611,3
612,3
613,7
614,0
615,7
616,7
617,3
618,10
619,7
620,13
621,3
622,3
