Score Distribution By Quarter,odds of visitor Q1 scoring…,odds of visitor Q2 scoring…,odds of visitor Q3 scoring…,odds of visitor Q4 scoring…,odds of home Q1 scoring…,odds of home Q2 scoring…,odds of home Q3 scoring…,odds of home Q4 scoring…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.437703685,0.238154926,0.396339935,0.291551767,0.353722738,0.201554274,0.361494109,0.251692153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.001504136,0.001002758,0.003008273,0.002506894,0.002506894,0.001754826,0.002256205,0.005013788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.181499123,0.191526698,0.163198797,0.144898471,0.170719479,0.176234645,0.168964653,0.149661569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0.000250689,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.000501379,0.000752068,0.001002758,0.001253447,0.001754826,0.002256205,0.001002758,0.003760341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.021809977,0.04988719,0.027074455,0.055903735,0.023314114,0.059664076,0.028829281,0.057658561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.234394585,0.231135623,0.256956631,0.235397343,0.282526949,0.206066683,0.262722487,0.236149411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.000250689,0.000501379,0.005264477,0.022060667,0,0.000501379,0.006016546,0.017548258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.003509652,0.007019303,0.005515167,0.011782402,0.003258962,0.011281023,0.005515167,0.015041364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.052644773,0.126347456,0.057658561,0.087490599,0.068688894,0.14088744,0.061920281,0.095011281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0.001253447,0.001504136,0.008523439,0,0.000250689,0.003258962,0.007520682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.000752068,0.001754826,0.001504136,0.004763099,0.000501379,0.001754826,0.001002758,0.003258962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.003760341,0.022311356,0.005013788,0.02055653,0.004763099,0.023564803,0.006517924,0.017548258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.048132364,0.080721985,0.056655803,0.064677864,0.069942341,0.097267486,0.070193031,0.075958887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,0.001754826,0.006267235,0,0.000250689,0.001754826,0.011782402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0.00401103,0.001002758,0.005765856,0.000752068,0.002757583,0.001002758,0.003760341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.007520682,0.023564803,0.008523439,0.014790674,0.008523439,0.036600652,0.007520682,0.019804462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,0.000501379,0.001504136,0,0,0,0.002256205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0.000250689,0,0.000250689,0,0.000250689,0,0.000752068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.000250689,0.002757583,0.001002758,0.002005515,0.000250689,0.005013788,0.000501379,0.002005515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.003509652,0.012785159,0.005264477,0.013035849,0.007269992,0.021559288,0.009024818,0.015292053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,0,0.000250689,0.001504136,0,0.001253447,0,0.002506894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.000250689,0.000752068,0,0.000501379,0,0.000501379,0,0.001253447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.001253447,0.001002758,0.000501379,0.000752068,0.000501379,0.003760341,0.000501379,0.002256205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,0,0.000250689,0.001002758,0,0,0,0.000250689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,0.000250689,0,0,0,0.000250689,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,0.000250689,0,0.000250689,0,0.000752068,0,0.000250689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.000752068,0.001754826,0,0.000752068,0.000250689,0.002506894,0,0.001002758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,0,0,0,0,0,0,0.000250689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,0,0,0,0,0,0,0.000250689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,0,0,0.000250689,0,0.001002758,0,0.000250689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,0,0,0,0,0.000250689,0,0.000250689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,0.000250689,0,0,0,0.000250689,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
