,Clump,Team,Estimator,accuracy,HV
334,10,Broncos,LogisticRegression(),0.5348837209302325,H
335,10,Dolphins,LogisticRegression(),0.4878048780487805,H
336,10,Browns,KNeighborsClassifier(),0.5,H
337,10,Raiders,ExtraTreesClassifier(),0.7142857142857143,H
338,10,Packers,LogisticRegression(),0.6363636363636364,H
339,10,Giants,LogisticRegression(),0.6190476190476191,H
340,10,Chiefs,KNeighborsClassifier(),0.4883720930232558,H
341,10,Saints,LogisticRegression(),0.5116279069767442,H
342,10,Rams,KNeighborsClassifier(),0.4761904761904761,H
343,10,Redskins,LogisticRegression(),0.5853658536585366,H
344,10,Falcons,KNeighborsClassifier(),0.6190476190476191,H
345,10,Cowboys,LogisticRegression(),0.5714285714285714,H
346,10,Patriots,LogisticRegression(),0.7083333333333334,H
347,10,Bengals,KNeighborsClassifier(),0.5609756097560976,H
348,10,Steelers,KNeighborsClassifier(),0.4772727272727273,H
349,10,Bills,KNeighborsClassifier(),0.4,H
350,10,Vikings,KNeighborsClassifier(),0.6904761904761905,H
351,10,Texans,LogisticRegression(),0.5789473684210527,H
352,11,Bears,LogisticRegression(),0.5952380952380952,H
353,11,Colts,KNeighborsClassifier(),0.6511627906976745,H
354,11,Panthers,LogisticRegression(),0.6190476190476191,H
355,11,49ers,LogisticRegression(),0.6428571428571429,H
356,11,Ravens,LogisticRegression(),0.6904761904761905,H
357,11,Jaguars,KNeighborsClassifier(),0.5365853658536586,H
358,11,Buccaneers,LogisticRegression(),0.6585365853658537,H
359,11,Lions,KNeighborsClassifier(),0.45,H
360,11,Cardinals,KNeighborsClassifier(),0.5238095238095238,H
361,11,Eagles,BaggingClassifier(),0.6590909090909091,H
362,11,Chargers,KNeighborsClassifier(),0.5952380952380952,H
363,11,Seahawks,KNeighborsClassifier(),0.4883720930232558,H
364,11,Jets,LogisticRegression(),0.4878048780487805,H
365,11,Titans,KNeighborsClassifier(),0.3902439024390244,H
366,11,Broncos,LogisticRegression(),0.5348837209302325,H
367,11,Dolphins,LogisticRegression(),0.4878048780487805,H
368,11,Browns,KNeighborsClassifier(),0.5,H
369,11,Raiders,ExtraTreesClassifier(),0.7142857142857143,H
370,11,Packers,LogisticRegression(),0.6363636363636364,H
371,11,Giants,LogisticRegression(),0.6190476190476191,H
372,11,Chiefs,KNeighborsClassifier(),0.4883720930232558,H
373,11,Saints,LogisticRegression(),0.5116279069767442,H
374,11,Rams,KNeighborsClassifier(),0.4761904761904761,H
375,11,Redskins,LogisticRegression(),0.5853658536585366,H
376,11,Falcons,KNeighborsClassifier(),0.6190476190476191,H
377,11,Cowboys,LogisticRegression(),0.5714285714285714,H
378,11,Patriots,LogisticRegression(),0.7083333333333334,H
379,11,Bengals,KNeighborsClassifier(),0.5609756097560976,H
380,11,Steelers,KNeighborsClassifier(),0.4772727272727273,H
381,11,Bills,KNeighborsClassifier(),0.4,H
382,11,Vikings,KNeighborsClassifier(),0.6904761904761905,H
383,11,Texans,LogisticRegression(),0.5789473684210527,H
384,12,Bears,LogisticRegression(),0.5952380952380952,H
385,12,Colts,KNeighborsClassifier(),0.6511627906976745,H
386,12,Panthers,LogisticRegression(),0.6190476190476191,H
387,12,49ers,LogisticRegression(),0.6428571428571429,H
388,12,Ravens,LogisticRegression(),0.6904761904761905,H
389,12,Jaguars,KNeighborsClassifier(),0.5365853658536586,H
390,12,Buccaneers,LogisticRegression(),0.6585365853658537,H
391,12,Lions,KNeighborsClassifier(),0.45,H
392,12,Cardinals,KNeighborsClassifier(),0.5238095238095238,H
393,12,Eagles,BaggingClassifier(),0.6590909090909091,H
394,12,Chargers,KNeighborsClassifier(),0.5952380952380952,H
395,12,Seahawks,KNeighborsClassifier(),0.4883720930232558,H
396,12,Jets,LogisticRegression(),0.4878048780487805,H
397,12,Titans,KNeighborsClassifier(),0.3902439024390244,H
398,12,Broncos,LogisticRegression(),0.5348837209302325,H
399,12,Dolphins,LogisticRegression(),0.4878048780487805,H
400,12,Browns,KNeighborsClassifier(),0.5,H
401,12,Raiders,ExtraTreesClassifier(),0.7142857142857143,H
402,12,Packers,LogisticRegression(),0.6363636363636364,H
403,12,Giants,LogisticRegression(),0.6190476190476191,H
404,12,Chiefs,KNeighborsClassifier(),0.4883720930232558,H
405,12,Saints,LogisticRegression(),0.5116279069767442,H
406,12,Rams,KNeighborsClassifier(),0.4761904761904761,H
407,12,Redskins,LogisticRegression(),0.5853658536585366,H
408,12,Falcons,KNeighborsClassifier(),0.6190476190476191,H
409,12,Cowboys,LogisticRegression(),0.5714285714285714,H
410,12,Patriots,LogisticRegression(),0.7083333333333334,H
411,12,Bengals,KNeighborsClassifier(),0.5609756097560976,H
412,12,Steelers,KNeighborsClassifier(),0.4772727272727273,H
413,12,Bills,KNeighborsClassifier(),0.4,H
414,12,Vikings,KNeighborsClassifier(),0.6904761904761905,H
415,12,Texans,LogisticRegression(),0.5789473684210527,H
416,13,Bears,LogisticRegression(),0.5952380952380952,H
417,13,Colts,KNeighborsClassifier(),0.6511627906976745,H
418,13,Panthers,LogisticRegression(),0.6190476190476191,H
419,13,49ers,LogisticRegression(),0.6428571428571429,H
420,13,Ravens,LogisticRegression(),0.6904761904761905,H
421,13,Jaguars,KNeighborsClassifier(),0.5365853658536586,H
422,13,Buccaneers,LogisticRegression(),0.6585365853658537,H
423,13,Lions,KNeighborsClassifier(),0.45,H
424,13,Cardinals,KNeighborsClassifier(),0.5238095238095238,H
425,13,Eagles,BaggingClassifier(),0.6590909090909091,H
426,13,Chargers,KNeighborsClassifier(),0.5952380952380952,H
427,13,Seahawks,KNeighborsClassifier(),0.4883720930232558,H
428,13,Jets,LogisticRegression(),0.4878048780487805,H
429,13,Titans,KNeighborsClassifier(),0.3902439024390244,H
430,13,Broncos,LogisticRegression(),0.5348837209302325,H
431,13,Dolphins,LogisticRegression(),0.4878048780487805,H
432,13,Browns,KNeighborsClassifier(),0.5,H
433,13,Raiders,ExtraTreesClassifier(),0.7142857142857143,H
434,13,Packers,LogisticRegression(),0.6363636363636364,H
435,13,Giants,LogisticRegression(),0.6190476190476191,H
436,13,Chiefs,KNeighborsClassifier(),0.4883720930232558,H
437,13,Saints,LogisticRegression(),0.5116279069767442,H
438,13,Rams,KNeighborsClassifier(),0.4761904761904761,H
439,13,Redskins,LogisticRegression(),0.5853658536585366,H
440,13,Falcons,KNeighborsClassifier(),0.6190476190476191,H
441,13,Cowboys,LogisticRegression(),0.5714285714285714,H
442,13,Patriots,LogisticRegression(),0.7083333333333334,H
443,13,Bengals,KNeighborsClassifier(),0.5609756097560976,H
444,13,Steelers,KNeighborsClassifier(),0.4772727272727273,H
445,13,Bills,KNeighborsClassifier(),0.4,H
446,13,Vikings,KNeighborsClassifier(),0.6904761904761905,H
447,13,Texans,LogisticRegression(),0.5789473684210527,H
448,14,Bears,LogisticRegression(),0.5952380952380952,H
449,14,Colts,KNeighborsClassifier(),0.6511627906976745,H
450,14,Panthers,LogisticRegression(),0.6190476190476191,H
451,14,49ers,LogisticRegression(),0.6428571428571429,H
452,14,Ravens,LogisticRegression(),0.6904761904761905,H
453,14,Jaguars,KNeighborsClassifier(),0.5365853658536586,H
454,14,Buccaneers,LogisticRegression(),0.6585365853658537,H
455,14,Lions,KNeighborsClassifier(),0.45,H
456,14,Cardinals,KNeighborsClassifier(),0.5238095238095238,H
457,14,Eagles,BaggingClassifier(),0.6590909090909091,H
458,14,Chargers,KNeighborsClassifier(),0.5952380952380952,H
459,14,Seahawks,KNeighborsClassifier(),0.4883720930232558,H
460,14,Jets,LogisticRegression(),0.4878048780487805,H
461,14,Titans,KNeighborsClassifier(),0.3902439024390244,H
462,14,Broncos,LogisticRegression(),0.5348837209302325,H
463,14,Dolphins,LogisticRegression(),0.4878048780487805,H
464,14,Browns,KNeighborsClassifier(),0.5,H
465,14,Raiders,ExtraTreesClassifier(),0.7142857142857143,H
466,14,Packers,LogisticRegression(),0.6363636363636364,H
467,14,Giants,LogisticRegression(),0.6190476190476191,H
468,14,Chiefs,KNeighborsClassifier(),0.4883720930232558,H
469,14,Saints,LogisticRegression(),0.5116279069767442,H
470,14,Rams,KNeighborsClassifier(),0.4761904761904761,H
471,14,Redskins,LogisticRegression(),0.5853658536585366,H
472,14,Falcons,KNeighborsClassifier(),0.6190476190476191,H
473,14,Cowboys,LogisticRegression(),0.5714285714285714,H
474,14,Patriots,LogisticRegression(),0.7083333333333334,H
475,14,Bengals,KNeighborsClassifier(),0.5609756097560976,H
476,14,Steelers,KNeighborsClassifier(),0.4772727272727273,H
477,14,Bills,KNeighborsClassifier(),0.4,H
478,14,Vikings,KNeighborsClassifier(),0.6904761904761905,H
479,14,Texans,LogisticRegression(),0.5789473684210527,H
