,HQ1
0,6
1,0
2,7
3,6
4,0
5,0
6,3
7,7
8,7
9,0
10,0
11,10
12,7
13,0
14,7
15,3
16,0
17,14
18,0
19,0
20,0
21,0
22,0
23,3
24,0
25,3
26,3
27,13
28,3
29,7
30,10
31,14
32,0
33,0
34,3
35,7
36,3
37,0
38,7
39,0
40,7
41,7
42,3
43,7
44,3
45,10
46,0
47,7
48,7
49,0
50,0
51,0
52,3
53,6
54,3
55,7
56,0
57,7
58,3
59,7
60,0
61,17
62,7
63,0
64,3
65,10
66,0
67,7
68,0
69,0
70,3
71,0
72,0
73,0
74,10
75,3
76,3
77,0
78,7
79,0
80,0
81,7
82,0
83,0
84,3
85,7
86,0
87,0
88,7
89,0
90,7
91,0
92,0
93,0
94,3
95,3
96,0
97,7
98,6
99,7
100,6
101,14
102,7
103,20
104,0
105,3
106,7
107,3
108,3
109,3
110,7
111,3
112,3
113,0
114,14
115,7
116,0
117,0
118,3
119,0
120,7
121,7
122,7
123,7
124,7
125,3
126,0
127,7
128,0
129,7
130,10
131,0
132,0
133,0
134,0
135,0
136,3
137,14
138,10
139,0
140,0
141,7
142,0
143,0
144,7
145,0
146,7
147,0
148,0
149,7
150,0
151,3
152,0
153,0
154,0
155,0
156,7
157,7
158,14
159,0
160,7
161,0
162,0
163,5
164,0
165,0
166,3
167,0
168,0
169,10
170,3
171,7
172,10
173,3
174,3
175,3
176,7
177,7
178,7
179,7
180,7
181,3
182,7
183,7
184,10
185,0
186,0
187,14
188,7
189,7
190,0
191,17
192,0
193,7
194,7
195,3
196,0
197,0
198,7
199,14
200,3
201,0
202,10
203,0
204,3
205,3
206,6
207,10
208,3
209,3
210,14
211,0
212,7
213,7
214,6
215,14
216,0
217,3
218,0
219,10
220,3
221,7
222,7
223,0
224,0
225,0
226,0
227,7
228,7
229,0
230,0
231,7
232,10
233,7
234,0
235,7
236,14
237,10
238,7
239,0
240,7
241,0
242,10
243,7
244,14
245,7
246,7
247,7
248,0
249,0
250,0
251,0
252,10
253,10
254,7
255,7
256,14
257,0
258,0
259,7
260,21
261,3
262,0
263,0
264,0
265,0
266,7
267,0
268,3
269,0
270,10
271,3
272,0
273,7
274,0
275,0
276,14
277,0
278,3
279,0
280,7
281,0
282,7
283,3
284,0
285,0
286,3
287,7
288,7
289,7
290,3
291,0
292,7
293,0
294,0
295,0
296,7
297,10
298,0
299,0
300,7
301,7
302,6
303,7
304,0
305,0
306,7
307,3
308,0
309,7
310,7
311,7
312,6
313,14
314,0
315,0
316,0
317,0
318,6
319,3
320,7
321,3
322,0
323,0
324,3
325,7
326,14
327,0
328,10
329,0
330,0
331,0
332,0
333,0
334,3
335,0
336,0
337,0
338,7
339,0
340,7
341,0
342,0
343,3
344,0
345,3
346,0
347,7
348,14
349,6
350,0
351,10
352,7
353,0
354,14
355,0
356,0
357,7
