,Year,Clump,Estimator,params,accuracy
104,2006,14,LogisticRegression,NA,0.8591549295774648
105,2007,0,LogisticRegression,NA,0.582089552238806
106,2007,1,LogisticRegression,NA,0.6119402985074627
107,2007,2,LogisticRegression,NA,0.582089552238806
108,2007,3,LogisticRegression,NA,0.6417910447761194
109,2007,4,LogisticRegression,NA,0.6268656716417911
110,2007,5,LogisticRegression,NA,0.6268656716417911
111,2007,6,LogisticRegression,NA,0.6417910447761194
112,2007,7,LogisticRegression,NA,0.6716417910447762
113,2007,8,LogisticRegression,NA,0.7761194029850746
114,2007,9,LogisticRegression,NA,0.7611940298507462
115,2007,10,LogisticRegression,NA,0.6716417910447762
116,2007,11,LogisticRegression,NA,0.6417910447761194
117,2007,12,LogisticRegression,NA,0.7611940298507462
118,2007,13,LogisticRegression,NA,0.7761194029850746
119,2007,14,LogisticRegression,NA,0.8507462686567164
120,2008,0,LogisticRegression,NA,0.5522388059701493
121,2008,1,LogisticRegression,NA,0.6119402985074627
122,2008,2,LogisticRegression,NA,0.7014925373134329
123,2008,3,LogisticRegression,NA,0.6567164179104478
124,2008,4,LogisticRegression,NA,0.6716417910447762
125,2008,5,LogisticRegression,NA,0.7313432835820896
126,2008,6,LogisticRegression,NA,0.7761194029850746
127,2008,7,LogisticRegression,NA,0.7164179104477612
128,2008,8,LogisticRegression,NA,0.7014925373134329
129,2008,9,LogisticRegression,NA,0.7014925373134329
130,2008,10,LogisticRegression,NA,0.746268656716418
131,2008,11,LogisticRegression,NA,0.746268656716418
132,2008,12,LogisticRegression,NA,0.7164179104477612
133,2008,13,LogisticRegression,NA,0.8059701492537313
134,2008,14,LogisticRegression,NA,0.8507462686567164
135,2009,0,LogisticRegression,NA,0.6507936507936508
136,2009,1,LogisticRegression,NA,0.7142857142857143
137,2009,2,LogisticRegression,NA,0.6825396825396826
138,2009,3,LogisticRegression,NA,0.6984126984126984
139,2009,4,LogisticRegression,NA,0.6984126984126984
140,2009,5,LogisticRegression,NA,0.7777777777777778
141,2009,6,LogisticRegression,NA,0.7619047619047619
142,2009,7,LogisticRegression,NA,0.6349206349206349
143,2009,8,LogisticRegression,NA,0.6825396825396826
144,2009,9,LogisticRegression,NA,0.7777777777777778
145,2009,10,LogisticRegression,NA,0.7619047619047619
146,2009,11,LogisticRegression,NA,0.7142857142857143
147,2009,12,LogisticRegression,NA,0.7301587301587301
148,2009,13,LogisticRegression,NA,0.8571428571428571
149,2009,14,LogisticRegression,NA,0.873015873015873
150,2010,0,LogisticRegression,NA,0.7313432835820896
151,2010,1,LogisticRegression,NA,0.7313432835820896
152,2010,2,LogisticRegression,NA,0.6417910447761194
153,2010,3,LogisticRegression,NA,0.6716417910447762
154,2010,4,LogisticRegression,NA,0.7164179104477612
155,2010,5,LogisticRegression,NA,0.6865671641791045
156,2010,6,LogisticRegression,NA,0.7014925373134329
157,2010,7,LogisticRegression,NA,0.7313432835820896
158,2010,8,LogisticRegression,NA,0.7313432835820896
159,2010,9,LogisticRegression,NA,0.6716417910447762
160,2010,10,LogisticRegression,NA,0.8208955223880597
161,2010,11,LogisticRegression,NA,0.7910447761194029
162,2010,12,LogisticRegression,NA,0.8059701492537313
163,2010,13,LogisticRegression,NA,0.8059701492537313
164,2010,14,LogisticRegression,NA,0.8507462686567164
165,2011,0,LogisticRegression,NA,0.5522388059701493
166,2011,1,LogisticRegression,NA,0.5223880597014925
167,2011,2,LogisticRegression,NA,0.7164179104477612
168,2011,3,LogisticRegression,NA,0.5671641791044776
169,2011,4,LogisticRegression,NA,0.6268656716417911
170,2011,5,LogisticRegression,NA,0.6119402985074627
171,2011,6,LogisticRegression,NA,0.7164179104477612
172,2011,7,LogisticRegression,NA,0.6567164179104478
173,2011,8,LogisticRegression,NA,0.6417910447761194
174,2011,9,LogisticRegression,NA,0.5970149253731343
175,2011,10,LogisticRegression,NA,0.6567164179104478
176,2011,11,LogisticRegression,NA,0.746268656716418
177,2011,12,LogisticRegression,NA,0.6417910447761194
178,2011,13,LogisticRegression,NA,0.7164179104477612
179,2011,14,LogisticRegression,NA,0.7910447761194029
180,2012,0,LogisticRegression,NA,0.5211267605633803
181,2012,1,LogisticRegression,NA,0.6619718309859155
182,2012,2,LogisticRegression,NA,0.5774647887323944
183,2012,3,LogisticRegression,NA,0.6901408450704225
184,2012,4,LogisticRegression,NA,0.647887323943662
185,2012,5,LogisticRegression,NA,0.676056338028169
186,2012,6,LogisticRegression,NA,0.704225352112676
187,2012,7,LogisticRegression,NA,0.6197183098591549
188,2012,8,LogisticRegression,NA,0.647887323943662
189,2012,9,LogisticRegression,NA,0.676056338028169
190,2012,10,LogisticRegression,NA,0.6338028169014085
191,2012,11,LogisticRegression,NA,0.7183098591549296
192,2012,12,LogisticRegression,NA,0.7323943661971831
193,2012,13,LogisticRegression,NA,0.7605633802816901
194,2012,14,LogisticRegression,NA,0.7746478873239436
195,2013,0,LogisticRegression,NA,0.5074626865671642
196,2013,1,LogisticRegression,NA,0.6119402985074627
197,2013,2,LogisticRegression,NA,0.5522388059701493
198,2013,3,LogisticRegression,NA,0.5970149253731343
199,2013,4,LogisticRegression,NA,0.6417910447761194
200,2013,5,LogisticRegression,NA,0.6716417910447762
201,2013,6,LogisticRegression,NA,0.7164179104477612
202,2013,7,LogisticRegression,NA,0.6119402985074627
203,2013,8,LogisticRegression,NA,0.6567164179104478
204,2013,9,LogisticRegression,NA,0.6567164179104478
205,2013,10,LogisticRegression,NA,0.6567164179104478
206,2013,11,LogisticRegression,NA,0.746268656716418
207,2013,12,LogisticRegression,NA,0.7313432835820896
208,2013,13,LogisticRegression,NA,0.7611940298507462
209,2013,14,LogisticRegression,NA,0.8208955223880597
210,2014,0,LogisticRegression,NA,0.6417910447761194
211,2014,1,LogisticRegression,NA,0.6119402985074627
212,2014,2,LogisticRegression,NA,0.7014925373134329
213,2014,3,LogisticRegression,NA,0.6716417910447762
214,2014,4,LogisticRegression,NA,0.6567164179104478
215,2014,5,LogisticRegression,NA,0.746268656716418
216,2014,6,LogisticRegression,NA,0.7910447761194029
217,2014,7,LogisticRegression,NA,0.7164179104477612
218,2014,8,LogisticRegression,NA,0.7313432835820896
219,2014,9,LogisticRegression,NA,0.7014925373134329
220,2014,10,LogisticRegression,NA,0.8059701492537313
221,2014,11,LogisticRegression,NA,0.8059701492537313
222,2014,12,LogisticRegression,NA,0.7611940298507462
223,2014,13,LogisticRegression,NA,0.7910447761194029
224,2014,14,LogisticRegression,NA,0.8656716417910447
225,2015,0,LogisticRegression,NA,0.6285714285714286
226,2015,1,LogisticRegression,NA,0.6857142857142857
227,2015,2,LogisticRegression,NA,0.6142857142857143
228,2015,3,LogisticRegression,NA,0.6714285714285714
229,2015,4,LogisticRegression,NA,0.7
230,2015,5,LogisticRegression,NA,0.6857142857142857
231,2015,6,LogisticRegression,NA,0.7
232,2015,7,LogisticRegression,NA,0.6571428571428571
233,2015,8,LogisticRegression,NA,0.7
234,2015,9,LogisticRegression,NA,0.7571428571428571
235,2015,10,LogisticRegression,NA,0.7571428571428571
236,2015,11,LogisticRegression,NA,0.7428571428571429
237,2015,12,LogisticRegression,NA,0.8428571428571429
238,2015,13,LogisticRegression,NA,0.7428571428571429
239,2015,14,LogisticRegression,NA,0.8285714285714286
240,2016,0,LogisticRegression,NA,0.6417910447761194
241,2016,1,LogisticRegression,NA,0.746268656716418
242,2016,2,LogisticRegression,NA,0.6417910447761194
243,2016,3,LogisticRegression,NA,0.6119402985074627
244,2016,4,LogisticRegression,NA,0.7611940298507462
245,2016,5,LogisticRegression,NA,0.746268656716418
246,2016,6,LogisticRegression,NA,0.6567164179104478
247,2016,7,LogisticRegression,NA,0.7313432835820896
248,2016,8,LogisticRegression,NA,0.6865671641791045
249,2016,9,LogisticRegression,NA,0.7910447761194029
250,2016,10,LogisticRegression,NA,0.7761194029850746
251,2016,11,LogisticRegression,NA,0.7164179104477612
252,2016,12,LogisticRegression,NA,0.8208955223880597
253,2016,13,LogisticRegression,NA,0.7611940298507462
254,2016,14,LogisticRegression,NA,0.835820895522388
255,2017,0,LogisticRegression,NA,0.6716417910447762
256,2017,1,LogisticRegression,NA,0.7014925373134329
257,2017,2,LogisticRegression,NA,0.7014925373134329
258,2017,3,LogisticRegression,NA,0.6417910447761194
259,2017,4,LogisticRegression,NA,0.6567164179104478
260,2017,5,LogisticRegression,NA,0.6567164179104478
261,2017,6,LogisticRegression,NA,0.6865671641791045
262,2017,7,LogisticRegression,NA,0.6865671641791045
263,2017,8,LogisticRegression,NA,0.7611940298507462
264,2017,9,LogisticRegression,NA,0.7313432835820896
265,2017,10,LogisticRegression,NA,0.7313432835820896
266,2017,11,LogisticRegression,NA,0.7761194029850746
267,2017,12,LogisticRegression,NA,0.7910447761194029
