,HQ3
798,6
799,3
800,0
801,7
802,3
803,0
804,7
805,7
806,10
807,0
808,0
809,3
810,3
811,0
812,0
813,3
814,3
815,0
816,7
817,17
818,3
819,10
820,0
821,7
822,3
823,7
824,7
825,3
826,0
827,3
828,0
829,3
830,7
831,0
832,0
833,3
834,0
835,0
836,14
837,3
838,3
839,0
840,3
841,3
842,0
843,3
844,3
845,7
846,3
847,6
848,14
849,7
850,14
851,10
852,0
853,0
854,10
855,7
856,7
857,3
858,7
859,0
860,7
861,10
862,10
863,7
864,7
865,3
866,3
867,7
868,14
869,0
870,0
871,0
872,9
873,14
874,0
875,3
876,3
877,7
878,3
879,0
880,7
881,3
882,0
883,3
884,7
885,0
886,0
887,7
888,6
889,0
890,7
891,3
892,0
893,3
894,0
895,14
896,3
897,0
898,10
899,0
900,0
901,6
902,7
903,7
904,7
905,7
906,3
907,0
908,7
909,3
910,0
911,7
912,6
913,6
914,7
915,7
916,21
917,3
918,10
919,7
920,7
921,3
922,7
923,0
924,7
925,0
926,3
927,0
928,0
929,3
930,7
931,0
932,3
933,14
934,7
935,0
936,7
937,7
938,7
939,14
940,7
941,7
942,0
943,0
944,14
945,0
946,3
947,7
948,21
949,0
950,0
951,14
952,0
953,0
954,3
955,7
956,0
957,3
958,3
959,0
960,3
961,0
962,0
963,14
964,7
965,0
966,14
967,0
968,7
969,14
970,0
971,3
972,10
973,0
974,10
975,0
976,7
977,7
978,7
979,0
980,6
981,7
982,0
983,0
984,3
985,0
986,9
987,9
988,7
989,14
990,0
991,0
992,6
993,17
994,14
995,3
996,0
997,0
998,10
999,0
1000,8
1001,3
1002,0
1003,0
1004,3
1005,0
1006,0
1007,14
1008,7
1009,0
1010,7
1011,0
1012,3
1013,3
1014,3
1015,3
1016,14
1017,3
1018,0
1019,14
1020,7
1021,7
1022,0
1023,0
1024,0
1025,0
1026,3
1027,0
1028,7
1029,0
1030,10
1031,0
1032,0
1033,3
1034,17
1035,7
1036,0
1037,7
1038,0
1039,7
1040,0
1041,0
1042,7
1043,0
1044,10
1045,3
1046,0
1047,14
1048,0
1049,6
1050,0
1051,0
1052,14
1053,0
1054,0
1055,7
1056,3
1057,7
1058,0
1059,0
1060,0
1061,10
1062,7
1063,14
1064,3
1065,7
1066,7
1067,0
1068,7
1069,7
1070,0
1071,7
1072,7
1073,3
1074,0
1075,14
1076,0
1077,0
1078,7
1079,3
1080,7
1081,6
1082,13
1083,7
1084,7
1085,7
1086,0
1087,0
1088,3
1089,7
1090,0
1091,0
1092,7
1093,0
1094,10
1095,17
1096,0
1097,7
1098,0
1099,0
1100,7
1101,7
1102,3
