,GameID,Week,Day,DateStamp,Vteam,VQ1,VQ2,VQ3,VQ4,Year,Time
73,200010080nyj,6,Sun,2000-10-08,Steelers,3,7,0,10,2000,1:01PM
74,200010080det,6,Sun,2000-10-08,Packers,0,6,11,7,2000,1:01PM
75,200010080nwe,6,Sun,2000-10-08,Colts,0,10,3,3,2000,1:02PM
76,200010080mia,6,Sun,2000-10-08,Bills,3,0,0,10,2000,1:02PM
77,200010080phi,6,Sun,2000-10-08,Redskins,7,0,0,10,2000,1:02PM
78,200010080chi,6,Sun,2000-10-08,Saints,0,17,7,7,2000,1:03PM
79,200010080sfo,6,Sun,2000-10-08,Raiders,3,3,15,7,2000,4:00PM
80,200010080atl,6,Sun,2000-10-08,Giants,10,3,0,0,2000,4:05PM
81,200010080car,6,Sun,2000-10-08,Seahawks,0,0,3,0,2000,4:15PM
82,200010080sdg,6,Sun,2000-10-08,Broncos,7,0,7,7,2000,4:15PM
83,200010080crd,6,Sun,2000-10-08,Browns,7,7,0,7,2000,4:15PM
84,200010080jax,6,Sun,2000-10-08,Ravens,3,3,3,6,2000,8:35PM
85,200010090min,6,Mon,2000-10-09,Buccaneers,7,3,6,7,2000,9:10PM
86,200010150kan,7,Sun,2000-10-15,Raiders,7,0,3,10,2000,1:00PM
87,200010150buf,7,Sun,2000-10-15,Chargers,3,7,14,0,2000,1:01PM
88,200010150pit,7,Sun,2000-10-15,Bengals,0,0,0,0,2000,1:01PM
89,200010150was,7,Sun,2000-10-15,Ravens,0,3,0,0,2000,1:01PM
90,200010150ram,7,Sun,2000-10-15,Falcons,14,7,0,8,2000,1:02PM
91,200010150nyg,7,Sun,2000-10-15,Cowboys,0,0,14,0,2000,1:03PM
92,200010150nor,7,Sun,2000-10-15,Panthers,0,6,0,0,2000,1:04PM
93,200010150sea,7,Sun,2000-10-15,Colts,7,13,14,3,2000,4:05PM
94,200010150nwe,7,Sun,2000-10-15,Jets,14,10,7,3,2000,4:05PM
95,200010150den,7,Sun,2000-10-15,Browns,3,0,7,0,2000,4:06PM
96,200010150crd,7,Sun,2000-10-15,Eagles,7,10,7,9,2000,4:15PM
97,200010150gnb,7,Sun,2000-10-15,49ers,0,7,7,14,2000,4:15PM
98,200010150chi,7,Sun,2000-10-15,Vikings,0,14,7,7,2000,8:35PM
99,200010160oti,7,Mon,2000-10-16,Jaguars,3,0,0,10,2000,9:10PM
100,200010190tam,8,Thu,2000-10-19,Lions,0,11,3,14,2000,8:35PM
101,200010220dal,8,Sun,2000-10-22,Cardinals,0,0,0,7,2000,1:00PM
102,200010220clt,8,Sun,2000-10-22,Patriots,7,6,10,0,2000,1:00PM
103,200010220kan,8,Sun,2000-10-22,Rams,0,14,14,6,2000,1:00PM
104,200010220cin,8,Sun,2000-10-22,Broncos,7,7,0,7,2000,1:00PM
105,200010220min,8,Sun,2000-10-22,Bills,0,10,7,10,2000,1:02PM
106,200010220car,8,Sun,2000-10-22,49ers,0,13,3,0,2000,1:02PM
107,200010220rav,8,Sun,2000-10-22,Titans,0,7,7,0,2000,1:02PM
108,200010220phi,8,Sun,2000-10-22,Bears,0,0,0,9,2000,1:03PM
109,200010220atl,8,Sun,2000-10-22,Saints,7,0,7,7,2000,1:05PM
110,200010220rai,8,Sun,2000-10-22,Seahawks,3,0,0,0,2000,4:05PM
111,200010220pit,8,Sun,2000-10-22,Browns,0,0,0,0,2000,4:05PM
112,200010220jax,8,Sun,2000-10-22,Redskins,7,14,7,7,2000,4:15PM
113,200010230nyj,8,Mon,2000-10-23,Dolphins,17,6,7,7,2000,9:10PM
114,200010290tam,9,Sun,2000-10-29,Vikings,3,10,0,0,2000,1:01PM
115,200010290buf,9,Sun,2000-10-29,Jets,7,0,10,3,2000,1:01PM
116,200010290mia,9,Sun,2000-10-29,Packers,10,7,0,3,2000,1:02PM
117,200010290rav,9,Sun,2000-10-29,Steelers,0,0,9,0,2000,1:02PM
118,200010290atl,9,Sun,2000-10-29,Panthers,3,3,3,3,2000,1:02PM
119,200010290cle,9,Sun,2000-10-29,Bengals,0,7,3,2,2000,1:03PM
120,200010290clt,9,Sun,2000-10-29,Lions,0,0,11,7,2000,2:00PM
121,200010290crd,9,Sun,2000-10-29,Saints,7,0,7,7,2000,4:05PM
122,200010290sfo,9,Sun,2000-10-29,Rams,7,7,10,10,2000,4:05PM
