,VQ3
0,7
1,7
2,0
3,7
4,3
5,10
6,7
7,8
8,3
9,3
10,0
11,0
12,0
13,0
14,10
15,0
16,3
17,24
18,0
19,10
20,3
21,7
22,0
23,6
24,10
25,7
26,3
27,7
28,3
29,0
30,0
31,10
32,0
33,0
34,0
35,0
36,3
37,7
38,3
39,0
40,0
41,0
42,3
43,3
44,3
45,0
46,0
47,7
48,10
49,0
50,10
51,6
52,0
53,7
54,7
55,3
56,6
57,0
58,0
59,7
60,3
61,7
62,7
63,3
64,7
65,14
66,7
67,0
68,7
69,0
70,7
71,3
72,10
73,0
74,11
75,3
76,0
77,0
78,7
79,15
80,0
81,3
82,7
83,0
84,3
85,6
86,3
87,14
88,0
89,0
90,0
91,14
92,0
93,14
94,7
95,7
96,7
97,7
98,7
99,0
100,3
101,0
102,10
103,14
104,0
105,7
106,3
107,7
108,0
109,7
110,0
111,0
112,7
113,7
114,0
115,10
116,0
117,9
118,3
119,3
120,11
121,7
122,10
123,0
124,0
125,0
126,0
127,0
128,6
129,7
130,8
131,0
132,3
133,3
134,0
135,0
136,7
137,7
138,3
139,9
140,3
141,3
142,7
143,0
144,0
145,3
146,3
147,7
148,0
149,7
150,0
151,0
152,0
153,3
154,6
155,10
156,7
157,0
158,0
159,0
160,3
161,0
162,0
163,3
164,7
165,10
166,7
167,0
168,10
169,0
170,3
171,17
172,12
173,3
174,17
175,0
176,0
177,7
178,21
179,3
180,3
181,0
182,7
183,10
184,0
185,7
186,7
187,0
188,0
189,0
190,3
191,7
192,6
193,3
194,7
195,3
196,0
197,6
198,10
199,10
200,0
201,7
202,0
203,7
204,0
205,0
206,3
207,0
208,0
209,0
210,0
211,14
212,7
213,11
214,0
215,14
216,0
217,6
218,0
219,7
220,0
221,3
222,3
223,7
224,0
225,7
226,0
227,6
228,0
229,10
230,3
231,7
232,7
233,3
234,0
235,7
236,0
237,7
238,0
239,3
240,3
241,9
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,7
253,0
254,3
255,0
256,0
257,3
258,14
259,8
260,0
261,0
262,7
263,3
264,3
265,0
266,7
267,0
268,17
269,3
270,3
271,3
272,7
273,7
274,0
275,7
276,3
277,3
278,0
279,0
280,3
281,6
282,7
283,7
284,0
285,10
286,14
287,0
288,0
289,3
290,7
291,15
292,7
293,0
294,0
295,7
296,7
297,7
298,0
299,0
300,0
301,3
302,8
303,7
304,7
305,0
306,0
307,3
308,0
309,0
310,7
311,0
312,14
313,3
314,3
315,7
316,0
317,14
318,0
319,0
320,7
321,0
322,3
323,3
324,7
325,7
326,10
327,0
328,0
329,7
330,0
331,7
332,0
333,8
334,3
335,10
336,0
337,7
338,0
339,10
340,3
341,7
342,0
343,3
344,10
345,3
346,7
347,8
348,25
349,3
350,14
351,0
352,3
353,0
354,0
355,7
356,7
357,0
358,7
359,0
360,7
361,0
362,7
363,0
364,0
365,3
366,0
367,7
368,14
369,0
370,0
371,6
372,0
373,7
374,0
375,0
376,7
377,3
378,0
379,7
380,0
381,3
382,0
383,10
384,0
385,10
386,10
387,0
388,0
389,0
390,7
391,7
392,7
393,7
394,6
395,10
396,7
397,17
398,17
399,0
400,3
401,3
402,7
403,6
404,0
405,7
406,0
407,0
408,0
409,0
410,14
411,10
412,3
413,7
414,0
415,0
416,7
417,7
418,0
419,17
420,14
421,3
422,7
423,14
424,3
425,3
426,7
427,0
428,0
429,14
430,0
431,14
432,0
433,6
434,0
435,7
436,3
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,3
445,0
446,3
447,0
448,7
449,3
450,7
451,0
452,7
453,0
454,17
455,0
456,0
457,0
458,7
459,0
460,0
461,7
462,0
463,0
464,10
465,7
466,7
467,0
468,7
469,0
470,0
471,10
472,7
473,6
474,0
475,0
476,6
477,0
478,0
479,3
480,6
481,3
482,3
483,0
484,7
485,0
486,0
487,10
488,10
489,7
490,8
491,17
492,3
493,3
494,0
495,0
496,14
497,6
498,0
499,6
500,17
501,7
502,7
503,10
504,7
505,0
506,0
507,0
508,7
509,0
510,7
511,7
512,6
513,7
514,0
515,7
516,0
517,0
518,7
519,3
520,3
521,7
522,7
523,7
524,0
525,0
526,3
527,3
528,0
529,7
530,0
531,7
532,7
533,0
534,0
535,0
536,0
537,5
538,17
539,0
540,7
541,7
542,7
543,3
544,7
545,7
546,0
547,10
548,3
549,7
550,7
551,0
552,0
553,3
554,7
555,7
556,7
557,0
558,3
559,0
560,0
561,14
562,0
563,0
564,7
565,0
566,0
567,0
568,10
569,0
570,8
571,3
572,0
573,7
574,12
575,0
576,7
577,13
578,7
579,7
580,7
581,0
582,6
583,7
584,0
585,14
586,3
587,3
588,3
589,3
590,10
591,7
592,7
593,3
594,0
595,7
596,7
597,7
598,7
599,0
600,3
601,7
602,3
603,7
604,0
605,7
606,14
607,0
608,0
609,0
610,10
611,7
612,3
613,0
614,7
615,10
616,3
617,6
618,3
619,7
620,0
621,0
622,3
623,14
624,0
625,0
626,15
627,10
628,0
629,14
630,3
631,0
632,0
633,0
634,3
635,7
636,0
637,14
638,0
639,0
640,6
641,7
642,3
643,0
644,3
645,0
646,3
647,0
648,6
649,10
650,3
651,0
652,7
653,7
654,0
655,14
656,0
657,0
658,0
659,10
660,7
661,6
662,7
663,3
664,0
665,7
666,7
667,0
668,0
669,7
670,3
671,10
