,Team,Clump,Estimator,params,accuracy
0,Bears,0,LogisticRegression(),NA,0.5952380952380952
1,Bears,0,KNeighborsClassifier(),NA,0.5952380952380952
2,Bears,0,BaggingClassifier(),NA,0.5952380952380952
3,Bears,0,RandomForestClassifier(),NA,0.5952380952380952
4,Bears,0,ExtraTreesClassifier(),NA,0.5952380952380952
5,Bears,0,DecisionTreeClassifier(),NA,0.5952380952380952
6,Bears,0,AdaBoostClassifier(),NA,0.5952380952380952
7,Bears,0,MultinomialNB(),NA,0.5952380952380952
8,Bears,0,GradientBoostingClassifier(),NA,0.5952380952380952
9,Bears,1,LogisticRegression(),NA,0.6428571428571429
10,Bears,1,KNeighborsClassifier(),NA,0.6428571428571429
11,Bears,1,BaggingClassifier(),NA,0.6428571428571429
12,Bears,1,RandomForestClassifier(),NA,0.6428571428571429
13,Bears,1,ExtraTreesClassifier(),NA,0.6428571428571429
14,Bears,1,DecisionTreeClassifier(),NA,0.6428571428571429
15,Bears,1,AdaBoostClassifier(),NA,0.6428571428571429
16,Bears,1,MultinomialNB(),NA,0.6428571428571429
17,Bears,1,GradientBoostingClassifier(),NA,0.6428571428571429
18,Bears,2,LogisticRegression(),NA,0.6428571428571429
19,Bears,2,KNeighborsClassifier(),NA,0.47619047619047616
20,Bears,2,BaggingClassifier(),NA,0.6428571428571429
21,Bears,2,RandomForestClassifier(),NA,0.6428571428571429
22,Bears,2,ExtraTreesClassifier(),NA,0.5476190476190477
23,Bears,2,DecisionTreeClassifier(),NA,0.5476190476190477
24,Bears,2,AdaBoostClassifier(),NA,0.5476190476190477
25,Bears,2,MultinomialNB(),NA,0.6428571428571429
26,Bears,2,GradientBoostingClassifier(),NA,0.5476190476190477
27,Bears,3,LogisticRegression(),NA,0.47619047619047616
28,Bears,3,KNeighborsClassifier(),NA,0.42857142857142855
29,Bears,3,BaggingClassifier(),NA,0.47619047619047616
30,Bears,3,RandomForestClassifier(),NA,0.47619047619047616
31,Bears,3,ExtraTreesClassifier(),NA,0.47619047619047616
32,Bears,3,DecisionTreeClassifier(),NA,0.47619047619047616
33,Bears,3,AdaBoostClassifier(),NA,0.47619047619047616
34,Bears,3,MultinomialNB(),NA,0.47619047619047616
35,Bears,3,GradientBoostingClassifier(),NA,0.47619047619047616
36,Bears,4,LogisticRegression(),NA,0.6428571428571429
37,Bears,4,KNeighborsClassifier(),NA,0.5714285714285714
38,Bears,4,BaggingClassifier(),NA,0.6190476190476191
39,Bears,4,RandomForestClassifier(),NA,0.5952380952380952
40,Bears,4,ExtraTreesClassifier(),NA,0.6190476190476191
41,Bears,4,DecisionTreeClassifier(),NA,0.6190476190476191
42,Bears,4,AdaBoostClassifier(),NA,0.6428571428571429
43,Bears,4,MultinomialNB(),NA,0.6904761904761905
44,Bears,4,GradientBoostingClassifier(),NA,0.6666666666666666
45,Bears,5,LogisticRegression(),NA,0.6666666666666666
46,Bears,5,KNeighborsClassifier(),NA,0.6428571428571429
47,Bears,5,BaggingClassifier(),NA,0.6428571428571429
48,Bears,5,RandomForestClassifier(),NA,0.6428571428571429
49,Bears,5,ExtraTreesClassifier(),NA,0.6190476190476191
50,Bears,5,DecisionTreeClassifier(),NA,0.5952380952380952
51,Bears,5,AdaBoostClassifier(),NA,0.6666666666666666
52,Bears,5,MultinomialNB(),NA,0.6428571428571429
53,Bears,5,GradientBoostingClassifier(),NA,0.6428571428571429
54,Bears,6,LogisticRegression(),NA,0.6428571428571429
55,Bears,6,KNeighborsClassifier(),NA,0.5476190476190477
56,Bears,6,BaggingClassifier(),NA,0.5238095238095238
57,Bears,6,RandomForestClassifier(),NA,0.5476190476190477
58,Bears,6,ExtraTreesClassifier(),NA,0.5476190476190477
59,Bears,6,DecisionTreeClassifier(),NA,0.5476190476190477
60,Bears,6,AdaBoostClassifier(),NA,0.5952380952380952
61,Bears,6,MultinomialNB(),NA,0.5714285714285714
62,Bears,6,GradientBoostingClassifier(),NA,0.5476190476190477
63,Bears,7,LogisticRegression(),NA,0.6904761904761905
64,Bears,7,KNeighborsClassifier(),NA,0.6666666666666666
65,Bears,7,BaggingClassifier(),NA,0.6428571428571429
66,Bears,7,RandomForestClassifier(),NA,0.6904761904761905
67,Bears,7,ExtraTreesClassifier(),NA,0.6904761904761905
68,Bears,7,DecisionTreeClassifier(),NA,0.6666666666666666
69,Bears,7,AdaBoostClassifier(),NA,0.6190476190476191
70,Bears,7,MultinomialNB(),NA,0.6428571428571429
71,Bears,7,GradientBoostingClassifier(),NA,0.6666666666666666
72,Bears,8,LogisticRegression(),NA,0.7380952380952381
73,Bears,8,KNeighborsClassifier(),NA,0.5952380952380952
74,Bears,8,BaggingClassifier(),NA,0.5714285714285714
75,Bears,8,RandomForestClassifier(),NA,0.5952380952380952
76,Bears,8,ExtraTreesClassifier(),NA,0.5952380952380952
77,Bears,8,DecisionTreeClassifier(),NA,0.6190476190476191
78,Bears,8,AdaBoostClassifier(),NA,0.7619047619047619
79,Bears,8,MultinomialNB(),NA,0.6666666666666666
80,Bears,8,GradientBoostingClassifier(),NA,0.5952380952380952
81,Bears,9,LogisticRegression(),NA,0.6190476190476191
82,Bears,9,KNeighborsClassifier(),NA,0.5714285714285714
83,Bears,9,BaggingClassifier(),NA,0.5952380952380952
84,Bears,9,RandomForestClassifier(),NA,0.5952380952380952
85,Bears,9,ExtraTreesClassifier(),NA,0.6428571428571429
86,Bears,9,DecisionTreeClassifier(),NA,0.6428571428571429
87,Bears,9,AdaBoostClassifier(),NA,0.5476190476190477
