,Team,Clump,Estimator,params,accuracy,HV
88,Bears,9,MultinomialNB(),,0.6190476190476191,H
89,Bears,9,GradientBoostingClassifier(),,0.6190476190476191,H
90,Bears,10,LogisticRegression(),,0.7380952380952381,H
91,Bears,10,KNeighborsClassifier(),,0.6666666666666666,H
92,Bears,10,BaggingClassifier(),,0.6428571428571429,H
93,Bears,10,RandomForestClassifier(),,0.7142857142857143,H
94,Bears,10,ExtraTreesClassifier(),,0.6904761904761905,H
95,Bears,10,DecisionTreeClassifier(),,0.5238095238095238,H
96,Bears,10,AdaBoostClassifier(),,0.6428571428571429,H
97,Bears,10,MultinomialNB(),,0.7380952380952381,H
98,Bears,10,GradientBoostingClassifier(),,0.6428571428571429,H
99,Bears,11,LogisticRegression(),,0.6428571428571429,H
100,Bears,11,KNeighborsClassifier(),,0.5952380952380952,H
101,Bears,11,BaggingClassifier(),,0.6190476190476191,H
102,Bears,11,RandomForestClassifier(),,0.5952380952380952,H
103,Bears,11,ExtraTreesClassifier(),,0.5714285714285714,H
104,Bears,11,DecisionTreeClassifier(),,0.5714285714285714,H
105,Bears,11,AdaBoostClassifier(),,0.5714285714285714,H
106,Bears,11,MultinomialNB(),,0.6190476190476191,H
107,Bears,11,GradientBoostingClassifier(),,0.6428571428571429,H
108,Bears,12,LogisticRegression(),,0.7380952380952381,H
109,Bears,12,KNeighborsClassifier(),,0.7142857142857143,H
110,Bears,12,BaggingClassifier(),,0.6666666666666666,H
111,Bears,12,RandomForestClassifier(),,0.6428571428571429,H
112,Bears,12,ExtraTreesClassifier(),,0.6904761904761905,H
113,Bears,12,DecisionTreeClassifier(),,0.6904761904761905,H
114,Bears,12,AdaBoostClassifier(),,0.7857142857142857,H
115,Bears,12,MultinomialNB(),,0.7142857142857143,H
116,Bears,12,GradientBoostingClassifier(),,0.7142857142857143,H
117,Bears,13,LogisticRegression(),,0.6190476190476191,H
118,Bears,13,KNeighborsClassifier(),,0.5476190476190477,H
119,Bears,13,BaggingClassifier(),,0.6190476190476191,H
120,Bears,13,RandomForestClassifier(),,0.6428571428571429,H
121,Bears,13,ExtraTreesClassifier(),,0.6666666666666666,H
122,Bears,13,DecisionTreeClassifier(),,0.6428571428571429,H
123,Bears,13,AdaBoostClassifier(),,0.6904761904761905,H
124,Bears,13,MultinomialNB(),,0.5714285714285714,H
125,Bears,13,GradientBoostingClassifier(),,0.6428571428571429,H
126,Bears,14,LogisticRegression(),,0.7380952380952381,H
127,Bears,14,KNeighborsClassifier(),,0.5952380952380952,H
128,Bears,14,BaggingClassifier(),,0.6428571428571429,H
129,Bears,14,RandomForestClassifier(),,0.7142857142857143,H
130,Bears,14,ExtraTreesClassifier(),,0.6904761904761905,H
131,Bears,14,DecisionTreeClassifier(),,0.6190476190476191,H
132,Bears,14,AdaBoostClassifier(),,0.7619047619047619,H
133,Bears,14,MultinomialNB(),,0.7380952380952381,H
134,Bears,14,GradientBoostingClassifier(),,0.6904761904761905,H
135,Colts,0,LogisticRegression(),,0.6744186046511628,H
136,Colts,0,KNeighborsClassifier(),,0.6511627906976745,H
137,Colts,0,BaggingClassifier(),,0.7674418604651163,H
138,Colts,0,RandomForestClassifier(),,0.7674418604651163,H
139,Colts,0,ExtraTreesClassifier(),,0.6744186046511628,H
140,Colts,0,DecisionTreeClassifier(),,0.6744186046511628,H
141,Colts,0,AdaBoostClassifier(),,0.7674418604651163,H
142,Colts,0,MultinomialNB(),,0.6744186046511628,H
143,Colts,0,GradientBoostingClassifier(),,0.6744186046511628,H
144,Colts,1,LogisticRegression(),,0.627906976744186,H
145,Colts,1,KNeighborsClassifier(),,0.627906976744186,H
146,Colts,1,BaggingClassifier(),,0.627906976744186,H
147,Colts,1,RandomForestClassifier(),,0.627906976744186,H
148,Colts,1,ExtraTreesClassifier(),,0.627906976744186,H
149,Colts,1,DecisionTreeClassifier(),,0.627906976744186,H
150,Colts,1,AdaBoostClassifier(),,0.6511627906976745,H
151,Colts,1,MultinomialNB(),,0.627906976744186,H
152,Colts,1,GradientBoostingClassifier(),,0.627906976744186,H
153,Colts,2,LogisticRegression(),,0.6511627906976745,H
154,Colts,2,KNeighborsClassifier(),,0.5348837209302325,H
155,Colts,2,BaggingClassifier(),,0.6511627906976745,H
156,Colts,2,RandomForestClassifier(),,0.6511627906976745,H
157,Colts,2,ExtraTreesClassifier(),,0.6511627906976745,H
158,Colts,2,DecisionTreeClassifier(),,0.6511627906976745,H
159,Colts,2,AdaBoostClassifier(),,0.6511627906976745,H
160,Colts,2,MultinomialNB(),,0.6511627906976745,H
161,Colts,2,GradientBoostingClassifier(),,0.6511627906976745,H
162,Colts,3,LogisticRegression(),,0.4883720930232558,H
163,Colts,3,KNeighborsClassifier(),,0.4883720930232558,H
164,Colts,3,BaggingClassifier(),,0.4883720930232558,H
165,Colts,3,RandomForestClassifier(),,0.4883720930232558,H
166,Colts,3,ExtraTreesClassifier(),,0.4883720930232558,H
167,Colts,3,DecisionTreeClassifier(),,0.4883720930232558,H
168,Colts,3,AdaBoostClassifier(),,0.4883720930232558,H
169,Colts,3,MultinomialNB(),,0.4883720930232558,H
170,Colts,3,GradientBoostingClassifier(),,0.4883720930232558,H
171,Colts,4,LogisticRegression(),,0.7906976744186046,H
172,Colts,4,KNeighborsClassifier(),,0.627906976744186,H
173,Colts,4,BaggingClassifier(),,0.6046511627906976,H
174,Colts,4,RandomForestClassifier(),,0.7906976744186046,H
175,Colts,4,ExtraTreesClassifier(),,0.7674418604651163,H
176,Colts,4,DecisionTreeClassifier(),,0.7674418604651163,H
177,Colts,4,AdaBoostClassifier(),,0.6744186046511628,H
178,Colts,4,MultinomialNB(),,0.813953488372093,H
179,Colts,4,GradientBoostingClassifier(),,0.7674418604651163,H
180,Colts,5,LogisticRegression(),,0.7674418604651163,H
181,Colts,5,KNeighborsClassifier(),,0.7441860465116279,H
182,Colts,5,BaggingClassifier(),,0.6744186046511628,H
183,Colts,5,RandomForestClassifier(),,0.6744186046511628,H
184,Colts,5,ExtraTreesClassifier(),,0.6744186046511628,H
185,Colts,5,DecisionTreeClassifier(),,0.6511627906976745,H
186,Colts,5,AdaBoostClassifier(),,0.6976744186046512,H
187,Colts,5,MultinomialNB(),,0.7674418604651163,H
188,Colts,5,GradientBoostingClassifier(),,0.6511627906976745,H
189,Colts,6,LogisticRegression(),,0.627906976744186,H
190,Colts,6,KNeighborsClassifier(),,0.627906976744186,H
191,Colts,6,BaggingClassifier(),,0.6511627906976745,H
192,Colts,6,RandomForestClassifier(),,0.627906976744186,H
193,Colts,6,ExtraTreesClassifier(),,0.627906976744186,H
194,Colts,6,DecisionTreeClassifier(),,0.627906976744186,H
195,Colts,6,AdaBoostClassifier(),,0.5581395348837209,H
196,Colts,6,MultinomialNB(),,0.627906976744186,H
197,Colts,6,GradientBoostingClassifier(),,0.627906976744186,H
198,Colts,7,LogisticRegression(),,0.7209302325581395,H
199,Colts,7,KNeighborsClassifier(),,0.813953488372093,H
200,Colts,7,BaggingClassifier(),,0.7674418604651163,H
