,Week,Clump,Estimator,params,accuracy
110,8,5,LogisticRegression,NA,0.7391304347826086
111,8,6,LogisticRegression,NA,0.782608695652174
112,8,7,LogisticRegression,NA,0.7391304347826086
113,8,8,LogisticRegression,NA,0.782608695652174
114,8,9,LogisticRegression,NA,0.7536231884057971
115,8,10,LogisticRegression,NA,0.7536231884057971
116,8,11,LogisticRegression,NA,0.8260869565217391
117,8,12,LogisticRegression,NA,0.7971014492753623
118,8,13,LogisticRegression,NA,0.7681159420289855
119,8,14,LogisticRegression,NA,0.855072463768116
120,9,0,LogisticRegression,NA,0.6086956521739131
121,9,1,LogisticRegression,NA,0.5507246376811594
122,9,2,LogisticRegression,NA,0.6521739130434783
123,9,3,LogisticRegression,NA,0.6666666666666666
124,9,4,LogisticRegression,NA,0.6666666666666666
125,9,5,LogisticRegression,NA,0.6666666666666666
126,9,6,LogisticRegression,NA,0.6956521739130435
127,9,7,LogisticRegression,NA,0.6376811594202898
128,9,8,LogisticRegression,NA,0.6521739130434783
129,9,9,LogisticRegression,NA,0.6811594202898551
130,9,10,LogisticRegression,NA,0.6956521739130435
131,9,11,LogisticRegression,NA,0.6956521739130435
132,9,12,LogisticRegression,NA,0.7101449275362319
133,9,13,LogisticRegression,NA,0.7536231884057971
134,9,14,LogisticRegression,NA,0.8405797101449275
135,10,0,LogisticRegression,NA,0.625
136,10,1,LogisticRegression,NA,0.6388888888888888
137,10,2,LogisticRegression,NA,0.5833333333333334
138,10,3,LogisticRegression,NA,0.625
139,10,4,LogisticRegression,NA,0.7083333333333334
140,10,5,LogisticRegression,NA,0.6805555555555556
141,10,6,LogisticRegression,NA,0.6527777777777778
142,10,7,LogisticRegression,NA,0.7222222222222222
143,10,8,LogisticRegression,NA,0.7222222222222222
144,10,9,LogisticRegression,NA,0.7222222222222222
145,10,10,LogisticRegression,NA,0.7777777777777778
146,10,11,LogisticRegression,NA,0.7777777777777778
147,10,12,LogisticRegression,NA,0.7916666666666666
148,10,13,LogisticRegression,NA,0.7638888888888888
149,10,14,LogisticRegression,NA,0.9166666666666666
150,11,0,LogisticRegression,NA,0.6933333333333334
151,11,1,LogisticRegression,NA,0.7066666666666667
152,11,2,LogisticRegression,NA,0.6933333333333334
153,11,3,LogisticRegression,NA,0.5866666666666667
154,11,4,LogisticRegression,NA,0.8
155,11,5,LogisticRegression,NA,0.8
156,11,6,LogisticRegression,NA,0.7333333333333333
157,11,7,LogisticRegression,NA,0.7733333333333333
158,11,8,LogisticRegression,NA,0.7733333333333333
159,11,9,LogisticRegression,NA,0.7466666666666667
160,11,10,LogisticRegression,NA,0.8266666666666667
161,11,11,LogisticRegression,NA,0.8133333333333334
162,11,12,LogisticRegression,NA,0.8533333333333334
163,11,13,LogisticRegression,NA,0.7866666666666666
164,11,14,LogisticRegression,NA,0.9066666666666666
165,12,0,LogisticRegression,NA,0.6025641025641025
166,12,1,LogisticRegression,NA,0.5512820512820513
167,12,2,LogisticRegression,NA,0.6282051282051282
168,12,3,LogisticRegression,NA,0.5897435897435898
169,12,4,LogisticRegression,NA,0.7051282051282052
170,12,5,LogisticRegression,NA,0.7564102564102564
171,12,6,LogisticRegression,NA,0.717948717948718
172,12,7,LogisticRegression,NA,0.6538461538461539
173,12,8,LogisticRegression,NA,0.6282051282051282
174,12,9,LogisticRegression,NA,0.6794871794871795
175,12,10,LogisticRegression,NA,0.7307692307692307
176,12,11,LogisticRegression,NA,0.7307692307692307
177,12,12,LogisticRegression,NA,0.7051282051282052
178,12,13,LogisticRegression,NA,0.8076923076923077
179,12,14,LogisticRegression,NA,0.8205128205128205
180,13,0,LogisticRegression,NA,0.575
181,13,1,LogisticRegression,NA,0.7625
182,13,2,LogisticRegression,NA,0.6125
183,13,3,LogisticRegression,NA,0.675
184,13,4,LogisticRegression,NA,0.75
185,13,5,LogisticRegression,NA,0.7875
186,13,6,LogisticRegression,NA,0.7
187,13,7,LogisticRegression,NA,0.6625
188,13,8,LogisticRegression,NA,0.6875
189,13,9,LogisticRegression,NA,0.8125
190,13,10,LogisticRegression,NA,0.775
191,13,11,LogisticRegression,NA,0.7
192,13,12,LogisticRegression,NA,0.825
193,13,13,LogisticRegression,NA,0.8375
194,13,14,LogisticRegression,NA,0.8125
195,14,0,LogisticRegression,NA,0.6125
196,14,1,LogisticRegression,NA,0.7625
197,14,2,LogisticRegression,NA,0.6
198,14,3,LogisticRegression,NA,0.6375
199,14,4,LogisticRegression,NA,0.775
200,14,5,LogisticRegression,NA,0.8375
201,14,6,LogisticRegression,NA,0.625
202,14,7,LogisticRegression,NA,0.7625
203,14,8,LogisticRegression,NA,0.7375
204,14,9,LogisticRegression,NA,0.775
205,14,10,LogisticRegression,NA,0.825
206,14,11,LogisticRegression,NA,0.725
207,14,12,LogisticRegression,NA,0.8125
208,14,13,LogisticRegression,NA,0.85
209,14,14,LogisticRegression,NA,0.9125
210,15,0,LogisticRegression,NA,0.6625
211,15,1,LogisticRegression,NA,0.6625
212,15,2,LogisticRegression,NA,0.625
213,15,3,LogisticRegression,NA,0.6875
214,15,4,LogisticRegression,NA,0.8375
215,15,5,LogisticRegression,NA,0.675
216,15,6,LogisticRegression,NA,0.6375
217,15,7,LogisticRegression,NA,0.7125
218,15,8,LogisticRegression,NA,0.7625
219,15,9,LogisticRegression,NA,0.775
220,15,10,LogisticRegression,NA,0.775
221,15,11,LogisticRegression,NA,0.75
222,15,12,LogisticRegression,NA,0.8625
223,15,13,LogisticRegression,NA,0.875
224,15,14,LogisticRegression,NA,0.875
225,16,0,LogisticRegression,NA,0.5375
226,16,1,LogisticRegression,NA,0.6125
227,16,2,LogisticRegression,NA,0.6125
228,16,3,LogisticRegression,NA,0.6125
229,16,4,LogisticRegression,NA,0.6625
230,16,5,LogisticRegression,NA,0.65
231,16,6,LogisticRegression,NA,0.7
232,16,7,LogisticRegression,NA,0.55
233,16,8,LogisticRegression,NA,0.55
234,16,9,LogisticRegression,NA,0.725
235,16,10,LogisticRegression,NA,0.675
236,16,11,LogisticRegression,NA,0.6875
237,16,12,LogisticRegression,NA,0.75
238,16,13,LogisticRegression,NA,0.75
239,16,14,LogisticRegression,NA,0.775
240,17,0,LogisticRegression,NA,0.675
241,17,1,LogisticRegression,NA,0.675
242,17,2,LogisticRegression,NA,0.6875
243,17,3,LogisticRegression,NA,0.625
244,17,4,LogisticRegression,NA,0.6625
245,17,5,LogisticRegression,NA,0.7125
246,17,6,LogisticRegression,NA,0.7375
247,17,7,LogisticRegression,NA,0.75
248,17,8,LogisticRegression,NA,0.725
249,17,9,LogisticRegression,NA,0.6625
250,17,10,LogisticRegression,NA,0.7875
251,17,11,LogisticRegression,NA,0.825
252,17,12,LogisticRegression,NA,0.75
253,17,13,LogisticRegression,NA,0.825
254,17,14,LogisticRegression,NA,0.8375
255,WC,0,LogisticRegression,NA,0.55
256,WC,1,LogisticRegression,NA,0.6
257,WC,2,LogisticRegression,NA,0.65
258,WC,3,LogisticRegression,NA,0.5
259,WC,4,LogisticRegression,NA,0.65
260,WC,5,LogisticRegression,NA,0.65
261,WC,6,LogisticRegression,NA,0.7
262,WC,7,LogisticRegression,NA,0.8
263,WC,8,LogisticRegression,NA,0.45
264,WC,9,LogisticRegression,NA,0.6
265,WC,10,LogisticRegression,NA,0.75
266,WC,11,LogisticRegression,NA,0.8
267,WC,12,LogisticRegression,NA,0.6
268,WC,13,LogisticRegression,NA,0.7
269,WC,14,LogisticRegression,NA,0.8
270,DV,0,LogisticRegression,NA,0.7
271,DV,1,LogisticRegression,NA,0.5
272,DV,2,LogisticRegression,NA,0.45
273,DV,3,LogisticRegression,NA,0.55
274,DV,4,LogisticRegression,NA,0.65
275,DV,5,LogisticRegression,NA,0.5
276,DV,6,LogisticRegression,NA,0.45
277,DV,7,LogisticRegression,NA,0.6
278,DV,8,LogisticRegression,NA,0.65
279,DV,9,LogisticRegression,NA,0.6
280,DV,10,LogisticRegression,NA,0.65
281,DV,11,LogisticRegression,NA,0.65
282,DV,12,LogisticRegression,NA,0.65
283,DV,13,LogisticRegression,NA,0.55
284,DV,14,LogisticRegression,NA,0.75
285,CC,0,LogisticRegression,NA,0.5
286,CC,1,LogisticRegression,NA,0.5
287,CC,2,LogisticRegression,NA,0.5
288,CC,3,LogisticRegression,NA,0.5
289,CC,4,LogisticRegression,NA,0.5
290,CC,5,LogisticRegression,NA,0.6
291,CC,6,LogisticRegression,NA,0.5
292,CC,7,LogisticRegression,NA,0.5
293,CC,8,LogisticRegression,NA,0.4
294,CC,9,LogisticRegression,NA,0.6
295,CC,10,LogisticRegression,NA,0.5
296,CC,11,LogisticRegression,NA,0.5
297,CC,12,LogisticRegression,NA,0.5
298,CC,13,LogisticRegression,NA,0.5
299,CC,14,LogisticRegression,NA,0.6
300,SB,0,LogisticRegression,NA,0.4
301,SB,1,LogisticRegression,NA,0.4
302,SB,2,LogisticRegression,NA,0.4
303,SB,3,LogisticRegression,NA,0.4
304,SB,4,LogisticRegression,NA,0.4
305,SB,5,LogisticRegression,NA,0.4
306,SB,6,LogisticRegression,NA,0.4
307,SB,7,LogisticRegression,NA,0.6
308,SB,8,LogisticRegression,NA,0.4
309,SB,9,LogisticRegression,NA,0.4
310,SB,10,LogisticRegression,NA,0.4
311,SB,11,LogisticRegression,NA,0.6
312,SB,12,LogisticRegression,NA,0.4
313,SB,13,LogisticRegression,NA,0.4
314,SB,14,LogisticRegression,NA,0.4
315,1,0,BaggingClassifier,NA,0.6125
316,1,1,BaggingClassifier,NA,0.675
317,1,2,BaggingClassifier,NA,0.7625
318,1,3,BaggingClassifier,NA,0.6375
319,1,4,BaggingClassifier,NA,0.6375
320,1,5,BaggingClassifier,NA,0.7125
321,1,6,BaggingClassifier,NA,0.75
322,1,7,BaggingClassifier,NA,0.725
323,1,8,BaggingClassifier,NA,0.625
324,1,9,BaggingClassifier,NA,0.7125
325,1,10,BaggingClassifier,NA,0.725
326,1,11,BaggingClassifier,NA,0.675
327,1,12,BaggingClassifier,NA,0.7125
328,1,13,BaggingClassifier,NA,0.825
329,1,14,BaggingClassifier,NA,0.75
330,2,0,BaggingClassifier,NA,0.6455696202531646
331,2,1,BaggingClassifier,NA,0.569620253164557
332,2,2,BaggingClassifier,NA,0.6962025316455697
333,2,3,BaggingClassifier,NA,0.620253164556962
334,2,4,BaggingClassifier,NA,0.6962025316455697
335,2,5,BaggingClassifier,NA,0.6455696202531646
336,2,6,BaggingClassifier,NA,0.620253164556962
337,2,7,BaggingClassifier,NA,0.6075949367088608
338,2,8,BaggingClassifier,NA,0.6455696202531646
339,2,9,BaggingClassifier,NA,0.6962025316455697
340,2,10,BaggingClassifier,NA,0.6962025316455697
341,2,11,BaggingClassifier,NA,0.6835443037974683
342,2,12,BaggingClassifier,NA,0.6708860759493671
343,2,13,BaggingClassifier,NA,0.7468354430379747
344,2,14,BaggingClassifier,NA,0.7341772151898734
345,3,0,BaggingClassifier,NA,0.5714285714285714
346,3,1,BaggingClassifier,NA,0.6363636363636364
347,3,2,BaggingClassifier,NA,0.6233766233766234
348,3,3,BaggingClassifier,NA,0.6103896103896104
349,3,4,BaggingClassifier,NA,0.6363636363636364
350,3,5,BaggingClassifier,NA,0.6623376623376623
351,3,6,BaggingClassifier,NA,0.7532467532467533
352,3,7,BaggingClassifier,NA,0.7142857142857143
353,3,8,BaggingClassifier,NA,0.6623376623376623
354,3,9,BaggingClassifier,NA,0.6233766233766234
355,3,10,BaggingClassifier,NA,0.6883116883116883
356,3,11,BaggingClassifier,NA,0.6623376623376623
357,3,12,BaggingClassifier,NA,0.7272727272727273
358,3,13,BaggingClassifier,NA,0.6883116883116883
359,3,14,BaggingClassifier,NA,0.7532467532467533
360,4,0,BaggingClassifier,NA,0.6575342465753424
361,4,1,BaggingClassifier,NA,0.5616438356164384
