,HQ4
0,14
1,0
2,10
3,0
4,0
5,0
6,6
7,3
8,7
9,8
10,7
11,0
12,3
13,6
14,6
15,10
16,0
17,7
18,7
19,7
20,17
21,6
22,7
23,3
24,15
25,14
26,6
27,0
28,9
29,13
30,3
31,6
32,3
33,0
34,17
35,3
36,0
37,0
38,0
39,14
40,10
41,6
42,6
43,7
44,14
45,10
46,0
47,0
48,7
49,0
50,14
51,0
52,0
53,0
54,0
55,8
56,6
57,17
58,7
59,14
60,3
61,10
62,7
63,0
64,7
65,3
66,8
67,3
68,14
69,7
70,21
71,10
72,0
73,0
74,0
75,14
76,7
77,7
78,3
79,14
80,0
81,3
82,0
83,3
84,7
85,10
86,0
87,10
88,2
89,7
90,8
91,6
92,14
93,7
94,7
95,10
96,7
97,10
98,7
99,3
100,3
101,7
102,16
103,14
104,14
105,18
106,3
107,0
108,0
109,6
110,10
111,6
112,0
113,30
114,7
115,6
116,0
117,0
118,10
119,0
120,7
121,0
122,0
123,10
124,7
125,9
126,6
127,7
128,8
129,0
130,0
131,10
132,7
133,13
134,6
135,0
136,0
137,14
138,0
139,3
140,3
141,0
142,0
143,3
144,14
145,10
146,6
147,7
148,7
149,0
150,9
151,3
152,0
153,7
154,6
155,7
156,3
157,6
158,0
159,7
160,6
161,17
162,9
163,7
164,7
165,10
166,3
167,0
168,21
169,10
170,3
171,14
172,0
173,21
174,6
175,21
176,7
177,3
178,7
179,7
180,0
181,3
182,7
183,3
184,3
185,7
186,0
187,7
188,7
189,7
190,7
191,7
192,6
193,7
194,3
195,7
196,9
197,7
198,7
199,7
200,7
201,3
202,3
203,9
204,7
205,0
206,17
207,7
208,0
209,10
210,7
211,10
212,7
213,13
214,10
215,7
216,10
217,21
218,7
219,14
220,10
221,7
222,0
223,10
224,7
225,3
226,0
227,10
228,0
229,0
230,3
231,0
232,7
233,21
234,0
235,6
236,0
237,10
238,0
239,7
240,0
241,14
242,3
243,10
244,0
245,3
246,14
247,0
248,10
249,14
250,0
251,7
252,7
253,0
254,0
255,3
256,0
257,0
258,0
259,7
260,0
261,0
262,0
263,3
264,7
265,0
266,7
267,0
268,0
269,10
270,10
271,14
272,9
273,10
274,0
275,14
276,0
277,8
278,0
279,7
280,7
281,7
282,0
283,0
284,0
285,10
286,7
287,17
288,14
289,7
290,0
291,0
292,21
293,0
294,7
295,7
296,0
297,0
298,7
299,0
300,0
301,7
302,3
303,6
304,10
305,6
306,3
307,14
308,3
309,3
310,0
311,7
312,14
313,3
314,7
315,0
316,0
317,15
318,6
319,0
320,0
321,11
322,13
323,7
324,10
325,11
326,11
327,7
328,3
329,3
330,6
331,3
332,3
333,10
334,0
335,7
336,14
337,0
338,0
339,7
340,7
341,15
342,14
343,0
344,14
345,0
346,12
347,0
348,7
349,0
350,15
351,14
352,7
353,0
354,8
355,7
356,3
357,7
358,7
359,0
360,3
361,10
362,7
363,14
364,10
365,7
366,0
367,0
368,14
369,10
370,0
371,10
372,0
373,0
374,7
375,0
376,3
377,0
378,2
379,10
380,10
381,0
382,10
383,7
384,0
385,7
386,0
387,0
388,7
389,10
390,0
391,7
392,0
393,9
394,3
395,17
396,7
397,24
398,15
399,0
400,7
401,14
402,14
403,21
404,9
405,0
406,6
407,7
408,6
409,0
