GameID,Vteam,VQ1,VQ2,VQ3,VQ4,DateWeek,Year,Hteam,HQ1,HQ2,HQ3,HQ4
200010080nwe,Colts,0,10,3,3,10/8/2000,2000,Patriots,3,7,0,14
200010080mia,Bills,3,0,0,10,10/8/2000,2000,Dolphins,3,10,2,7
200010080phi,Redskins,7,0,0,10,10/8/2000,2000,Eagles,0,7,0,7
200010080chi,Saints,0,17,7,7,10/8/2000,2000,Bears,7,0,0,3
200010080sfo,Raiders,3,3,15,7,10/8/2000,2000,49ers,0,14,0,14
200010080atl,Giants,10,3,0,0,10/8/2000,2000,Falcons,0,3,3,0
200010080car,Seahawks,0,0,3,0,10/8/2000,2000,Panthers,7,13,3,3
200010080sdg,Broncos,7,0,7,7,10/8/2000,2000,Chargers,0,7,0,0
200010080crd,Browns,7,7,0,7,10/8/2000,2000,Cardinals,0,16,10,3
200010080jax,Ravens,3,3,3,6,10/8/2000,2000,Jaguars,3,0,0,7
200010090min,Buccaneers,7,3,6,7,10/9/2000,2000,Vikings,7,10,3,10
200010150kan,Raiders,7,0,3,10,10/15/2000,2000,Chiefs,0,17,0,0
200010150buf,Chargers,3,7,14,0,10/15/2000,2000,Bills,0,14,0,10
200010150pit,Bengals,0,0,0,0,10/15/2000,2000,Steelers,7,3,3,2
200010150was,Ravens,0,3,0,0,10/15/2000,2000,Redskins,0,3,0,7
200010150ram,Falcons,14,7,0,8,10/15/2000,2000,Rams,7,22,8,8
200010150nyg,Cowboys,0,0,14,0,10/15/2000,2000,Giants,0,7,6,6
200010150nor,Panthers,0,6,0,0,10/15/2000,2000,Saints,0,10,0,14
200010150sea,Colts,7,13,14,3,10/15/2000,2000,Seahawks,0,17,0,7
200010150nwe,Jets,14,10,7,3,10/15/2000,2000,Patriots,3,7,0,7
200010150den,Browns,3,0,7,0,10/15/2000,2000,Broncos,3,17,14,10
200010150crd,Eagles,7,10,7,9,10/15/2000,2000,Cardinals,0,0,7,7
200010150gnb,49ers,0,7,7,14,10/15/2000,2000,Packers,7,7,7,10
200010150chi,Vikings,0,14,7,7,10/15/2000,2000,Bears,6,3,0,7
200010160oti,Jaguars,3,0,0,10,10/16/2000,2000,Titans,7,10,7,3
200010190tam,Lions,0,11,3,14,10/19/2000,2000,Buccaneers,6,5,0,3
200010220dal,Cardinals,0,0,0,7,10/22/2000,2000,Cowboys,14,13,14,7
200010220clt,Patriots,7,6,10,0,10/22/2000,2000,Colts,7,0,7,16
200010220kan,Rams,0,14,14,6,10/22/2000,2000,Chiefs,20,7,13,14
200010220cin,Broncos,7,7,0,7,10/22/2000,2000,Bengals,0,10,7,14
200010220min,Bills,0,10,7,10,10/22/2000,2000,Vikings,3,3,7,18
200010220car,49ers,0,13,3,0,10/22/2000,2000,Panthers,7,17,7,3
